net_gain,phase,amplitude_lc,frequency_lc
4.055696202531646,4.8515734650374025,1.1910773139264174e-13,0.0
4.055696202531646,4.931107456267524,1.956684586761883e-13,0.0
4.055696202531646,5.010641447497645,2.41864149307e-14,0.0
4.055696202531646,5.0901754387277665,1.3073508082077717e-14,0.0
4.055696202531646,5.169709429957888,2.6815892562372913e-14,0.0
4.055696202531646,5.249243421188009,5.87261075246691e-15,0.0
4.055696202531646,5.32877741241813,7.49874088163639e-15,0.0
4.055696202531646,5.408311403648252,1.0071101885152772e-12,0.0
4.055696202531646,5.487845394878374,1.1501963315831888e-12,0.0
4.055696202531646,5.567379386108494,1.6273760805064996e-14,0.0
4.055696202531646,5.646913377338616,2.0626446475244128e-13,0.0
4.055696202531646,5.726447368568738,5.905944843337464e-14,0.0
4.055696202531646,5.805981359798858,1.9337321705434235e-14,0.0
4.055696202531646,5.88551535102898,2.0564871638657533e-13,0.0
4.055696202531646,5.9650493422591016,7.17233153144634e-15,0.0
4.055696202531646,6.044583333489222,6.53808831843429e-14,0.0
4.055696202531646,6.124117324719344,2.694619284989868e-14,0.0
4.055696202531646,6.2036513159494655,8.08907958943803e-14,0.0
4.055696202531646,6.283185307179586,6.219777713437378e-14,0.0
4.111392405063291,0.0,4.181674948636418e-14,0.0
4.111392405063291,0.07953399123012135,2.2310049820350137e-12,0.0
4.111392405063291,0.1590679824602427,4.1353243352883205e-13,0.0
4.111392405063291,0.23860197369036407,7.578956879983324e-14,0.0
4.111392405063291,0.3181359649204854,1.2541875203865828e-12,0.0
4.111392405063291,0.39766995615060674,1.7538404385602613e-13,0.0
4.111392405063291,0.47720394738072813,7.840974808309129e-14,0.0
4.111392405063291,0.5567379386108494,3.009554763333096e-14,0.0
4.111392405063291,0.6362719298409708,7.955756678544998e-14,0.0
4.111392405063291,0.7158059210710922,2.834054961054014e-13,0.0
4.111392405063291,0.7953399123012135,1.0392200902477164e-13,0.0
4.111392405063291,0.8748739035313349,2.7105250865690774e-13,0.0
4.111392405063291,0.9544078947614563,1.3611471521023095e-13,0.0
4.111392405063291,1.0339418859915777,1.032698129144073e-13,0.0
4.111392405063291,1.1134758772216988,8.829877584832042e-13,0.0
4.111392405063291,1.1930098684518202,4.0373399200109837e-13,0.0
4.111392405063291,1.2725438596819416,7.306890658007968e-14,0.0
4.111392405063291,1.352077850912063,1.7182092738229987e-12,0.0
4.111392405063291,1.4316118421421844,3.5541469597706264e-14,0.0
4.111392405063291,1.5111458333723056,7.231690708100115e-15,0.0
4.111392405063291,1.590679824602427,3.4006866876865244e-15,0.0
4.111392405063291,1.6702138158325484,6.020247245591499e-14,0.0
4.111392405063291,1.7497478070626697,4.534809101528843e-14,0.0
4.111392405063291,1.8292817982927911,1.5675063842048827e-13,0.0
4.111392405063291,1.9088157895229125,2.8741661617794976e-14,0.0
4.111392405063291,1.9883497807530337,2.0685661959174458e-13,0.0
4.111392405063291,2.0678837719831553,1.692150865761168e-13,0.0
4.111392405063291,2.1474177632132765,2.582761920381748e-13,0.0
4.111392405063291,2.2269517544433977,3.510738562404146e-14,0.0
4.111392405063291,2.3064857456735193,8.8116753514254e-15,0.0
4.111392405063291,2.3860197369036404,4.0311268596181956e-13,0.0
4.111392405063291,2.465553728133762,1.2295221444576788e-15,0.0
4.111392405063291,2.5450877193638832,8.598066933218381e-13,0.0
4.111392405063291,2.6246217105940044,7.186231425258156e-15,0.0
4.111392405063291,2.704155701824126,1.9687516251712286e-14,0.0
4.111392405063291,2.783689693054247,5.773070939475699e-13,0.0
4.111392405063291,2.863223684284369,2.1604906381410715e-13,0.0
4.111392405063291,2.94275767551449,8.76998456504818e-14,0.0
4.111392405063291,3.022291666744611,4.947546167508151e-14,0.0
4.111392405063291,3.1018256579747328,2.6559527680001287e-13,0.0
4.111392405063291,3.181359649204854,1.979006957225752e-12,0.0
4.111392405063291,3.2608936404349755,9.946282431718219e-14,0.0
4.111392405063291,3.3404276316650967,1.1717362801122712e-13,0.0
4.111392405063291,3.419961622895218,1.0847333487310223e-13,0.0
4.111392405063291,3.4994956141253395,2.4346541663402837e-13,0.0
4.111392405063291,3.5790296053554607,8.137780962517674e-13,0.0
4.111392405063291,3.6585635965855823,7.60010290055159e-14,0.0
4.111392405063291,3.7380975878157034,7.565036324631955e-13,0.0
4.111392405063291,3.817631579045825,1.852341502659742e-13,0.0
4.111392405063291,3.8971655702759462,5.008148959391431e-14,0.0
4.111392405063291,3.9766995615060674,2.8215297588606766e-15,0.0
4.111392405063291,4.056233552736189,7.117324481466872e-15,0.0
4.111392405063291,4.135767543966311,1.0547298414667725e-14,0.0
4.111392405063291,4.215301535196431,1.5490690919999934e-14,0.0
4.111392405063291,4.294835526426553,1.1549096328736747e-13,0.0
4.111392405063291,4.374369517656675,1.884433117672932e-12,0.0
4.111392405063291,4.453903508886795,1.2867992594292201e-14,0.0
4.111392405063291,4.533437500116917,2.4927674479553187e-13,0.0
4.111392405063291,4.6129714913470385,2.857492057090227e-14,0.0
4.111392405063291,4.692505482577159,4.945492859577158e-14,0.0
4.111392405063291,4.772039473807281,1.4781902000024671e-12,0.0
4.111392405063291,4.8515734650374025,1.2160980201370818e-13,0.0
4.111392405063291,4.931107456267524,8.714610964248235e-15,0.0
4.111392405063291,5.010641447497645,6.300828892897748e-14,0.0
4.111392405063291,5.0901754387277665,1.7662175871123124e-13,0.0
4.111392405063291,5.169709429957888,8.352955282350534e-15,0.0
4.111392405063291,5.249243421188009,5.958846826914912e-14,0.0
4.111392405063291,5.32877741241813,8.860189712595227e-14,0.0
4.111392405063291,5.408311403648252,2.8278118354507467e-13,0.0
4.111392405063291,5.487845394878374,9.892197820296294e-15,0.0
4.111392405063291,5.567379386108494,1.7608408225847867e-13,0.0
4.111392405063291,5.646913377338616,7.290065196466912e-14,0.0
4.111392405063291,5.726447368568738,9.467863434979778e-14,0.0
4.111392405063291,5.805981359798858,9.613534747483714e-15,0.0
4.111392405063291,5.88551535102898,1.1698311780871828e-12,0.0
4.111392405063291,5.9650493422591016,5.491443982017215e-14,0.0
4.111392405063291,6.044583333489222,7.368465534572398e-15,0.0
4.111392405063291,6.124117324719344,3.295121749083932e-14,0.0
4.111392405063291,6.2036513159494655,1.434361058445033e-13,0.0
4.111392405063291,6.283185307179586,5.428841344774658e-14,0.0
4.167088607594937,0.0,1.9913173881280022e-14,0.0
4.167088607594937,0.07953399123012135,3.472825502033674e-14,0.0
4.167088607594937,0.1590679824602427,1.5376933582021719e-12,0.0
4.167088607594937,0.23860197369036407,3.161742863341154e-13,0.0
4.167088607594937,0.3181359649204854,2.0448694583127058e-13,0.0
4.167088607594937,0.39766995615060674,3.4659895313945775e-13,0.0
4.167088607594937,0.47720394738072813,1.6080976434048298e-13,0.0
4.167088607594937,0.5567379386108494,1.8510270422652554e-14,0.0
4.167088607594937,0.6362719298409708,3.428832045556826e-13,0.0
4.167088607594937,0.7158059210710922,5.608778149417858e-13,0.0
4.167088607594937,0.7953399123012135,1.7874253185713452e-13,0.0
4.167088607594937,0.8748739035313349,5.656436092513824e-13,0.0
4.167088607594937,0.9544078947614563,2.918542324066389e-13,0.0
4.167088607594937,1.0339418859915777,3.0926947399463694e-13,0.0
4.167088607594937,1.1134758772216988,2.2336840792981884e-13,0.0
4.167088607594937,1.1930098684518202,7.969577485781586e-14,0.0
4.167088607594937,1.2725438596819416,5.6578341888501755e-14,0.0
4.167088607594937,1.352077850912063,6.433588695034524e-14,0.0
4.167088607594937,1.4316118421421844,7.739581497230625e-14,0.0
4.167088607594937,1.5111458333723056,2.1677715469303122e-13,0.0
4.167088607594937,1.590679824602427,1.7073356703705146e-14,0.0
4.167088607594937,1.6702138158325484,7.447181696009489e-15,0.0
4.167088607594937,1.7497478070626697,4.551502265046591e-15,0.0
4.167088607594937,1.8292817982927911,6.329976923261775e-15,0.0
4.167088607594937,1.9088157895229125,7.678394846620561e-13,0.0
