drive_frequency_GHz,power_at_peak_dBm
6.023034017,-16.274270403369552
6.023042021,-16.313708896910192
6.023050025,-16.23096426650401
6.023058029,-16.245454170072392
6.023066033,-16.222639331896872
6.023074037,-16.225559616404755
6.023082041,-16.147223410349774
6.023090045,-16.200965904137277
6.023098049,-16.141879560698275
6.023106053,-16.13416761425954
6.023114057,-16.09501142232634
6.023122061,-16.13383378896302
6.023130065,-16.047612286805627
6.023138069,-16.0663466136095
6.023146073,-16.04221649922636
6.023154077,-16.04000944224441
6.023162081,-15.967380133755032
6.023170085,-16.017164747217127
6.023178089,-15.96021645276648
6.023186093,-15.944430391413531
6.023194097,-15.919005968153268
6.023202101,-15.940658724699654
6.023210105,-15.867385006437054
6.023218109,-15.873938784338858
6.023226113,-15.864972269617564
6.023234117,-15.838653463663787
6.023242121,-15.791869932446303
6.023250125,-15.817232552779624
6.023258129,-15.781480111875496
6.023266133,-15.73850053838424
6.023274137,-15.747905096567386
6.023282141,-15.733655778275963
6.023290145,-15.697482680235952
6.023298149,-15.667485830350216
6.023306153,-15.68893568735758
6.023314157,-15.624053144168847
6.023322161,-15.617646934000094
6.023330165,-15.607150490395547
6.023338169,-15.601172175026214
6.023346173,-15.527068659120786
6.023354177,-15.57227772246131
6.023362181,-15.51850272757835
6.023370185,-15.506574819329966
6.023378189,-15.464903411498224
6.023386193,-15.510402115709413
6.023394197,-15.416582365008995
6.023402201,-15.43899849947859
6.023410205,-15.407552549887155
6.023418209,-15.405070467172845
6.023426213,-15.330647929328808
6.023434217,-15.37830387990214
6.023442221,-15.321313071566667
6.023450225,-15.30048100687226
6.023458229,-15.280011457357723
6.023466233,-15.290576892703289
6.023474237,-15.225917931413786
6.023482241,-15.219472070961515
6.023490245,-15.22272598048337
6.023498249,-15.175620833884109
6.023506253,-15.14930811640227
6.023514257,-15.151435146267309
6.023522261,-15.134617550080923
6.023530265,-15.067136619474564
6.023538269,-15.102971841113195
6.023546273,-15.054661124302624
6.023554277,-15.038187120262146
6.023562281,-14.996205658388424
6.023570285,-15.034359638317962
6.023578289,-14.946034587096626
6.023586293,-14.966550556814788
6.023594297,-14.939746716414756
6.023602301,-14.933375323926182
6.023610305,-14.862814834781249
6.023618309,-14.903501104258584
6.023626313,-14.850865433959104
6.023634317,-14.819251020990365
6.023642321,-14.811443939317712
6.023650325,-14.803370838404424
6.023658329,-14.75310480123333
6.023666333,-14.730639894818518
6.023674337,-14.75149098384618
6.023682341,-14.680053170613329
6.023690345,-14.676406900556383
