drive_frequency_GHz,power_at_peak_dBm
6.030832,-13.368267059326172
6.030852,-13.879301071166992
6.030872,-14.30225944519043
6.030892,-13.691608428955078
6.030912,-14.18087387084961
6.030932,-13.534439086914062
6.030952,-13.976570129394531
6.030972,-14.649698257446287
6.030992,-13.864309310913086
6.031012,-14.640701293945312
6.031032,-13.843090057373049
6.031052,-14.311992645263672
6.031072,-14.645835876464844
6.031092,-13.918962478637695
6.031112,-14.407600402832031
6.031132,-14.03125
6.031152,-14.492435455322266
6.031172,-15.101325988769531
6.031192,-14.343585968017578
6.031212,-15.141668319702148
6.031232,-14.498004913330078
6.031252,-14.677936553955078
6.031272,-15.020301818847656
6.031292,-14.297548294067385
6.031312,-14.894466400146484
6.031332,-14.58832550048828
6.031352,-14.872112274169922
6.031372,-15.16326141357422
6.031392,-14.418098449707031
6.031412,-15.557504653930664
6.031432,-14.841384887695312
6.031452,-14.843942642211914
6.031472,-15.260107040405272
6.031492,-14.650671005249023
6.031512,-15.191434860229492
6.031532,-14.76230239868164
6.031552,-15.082611083984377
6.031572,-15.511102676391602
6.031592,-14.836936950683594
6.031612,-16.06998062133789
6.031632,-15.183065414428713
6.031652,-15.33452033996582
6.031672,-15.665786743164062
6.031692,-15.034561157226562
6.031712,-15.506223678588867
6.031732,-15.105497360229492
6.031752,-15.502321243286133
6.031772,-16.07441520690918
6.031792,-15.403779983520508
6.031812,-16.119382858276367
6.031832,-15.34100341796875
6.031852,-15.686925888061523
6.031872,-16.270706176757812
6.031892,-15.39109230041504
6.031912,-15.934131622314451
6.031932,-15.703533172607422
6.031952,-16.06331443786621
6.031972,-16.33611488342285
6.031992,-15.464834213256836
6.032012,-16.595441818237305
6.032032,-15.84588623046875
6.032052,-15.794687271118164
6.032072,-16.266998291015625
6.032092,-15.690488815307615
6.032112,-16.249385833740234
6.032132,-15.883285522460938
6.032152,-16.366933822631836
6.032172,-16.564144134521484
6.032192,-15.788900375366213
6.032212,-16.86379051208496
6.032232,-16.191789627075195
6.032252,-16.44439125061035
6.032272,-16.89187240600586
6.032292,-16.183837890625
6.032312,-16.484207153320312
6.032332,-17.478923797607422
6.032352,-16.61168670654297
6.032372,-16.834569931030273
6.032392,-16.207733154296875
6.032412,-17.296344757080078
6.032432,-17.648693084716797
6.032452,-16.401451110839844
6.032472,-17.056137084960938
6.032492,-16.512744903564453
6.032512,-16.798643112182617
6.032532,-17.684629440307617
6.032552,-16.815134048461914
6.032572,-17.39811897277832
6.032592,-16.59644317626953
6.032612,-17.33430290222168
6.032632,-17.96378517150879
6.032652,-16.73084259033203
6.032672,-17.183753967285156
6.032692,-16.595134735107422
6.032712,-17.0983943939209
6.032732,-17.993690490722656
6.032752,-16.995656967163086
6.032772,-17.438627243041992
6.032792,-16.74716567993164
6.032812,-17.826068878173828
6.032832,-18.18717193603516
6.032852,-16.95652198791504
6.032872,-17.516693115234375
6.032892,-16.998788833618164
6.032912,-17.608545303344727
6.032932,-18.43995857238769
6.032952,-17.501670837402344
6.032972,-17.784364700317383
6.032992,-16.917945861816406
6.033012,-17.96701431274414
6.033032,-18.57963180541992
6.033052,-17.490049362182617
6.033072,-17.92599868774414
6.033092,-17.228931427001953
6.033112,-17.580537796020508
6.033132,-18.408519744873047
6.033152,-17.443023681640625
6.033172,-17.907724380493164
6.033192,-17.21070098876953
6.033212,-18.397178649902344
6.033232,-18.75533103942871
6.033252,-17.45015525817871
6.033272,-18.004562377929688
6.033292,-17.42508316040039
6.033312,-18.035472869873047
6.033332,-18.90967559814453
6.033352,-17.697547912597656
6.033372,-18.17930793762207
6.033392,-17.477436065673828
6.033412,-18.52724266052246
6.033432,-19.17580795288086
6.033452,-17.864049911499023
6.033472,-18.25187873840332
6.033492,-17.587995529174805
6.033512,-18.06443977355957
6.033532,-18.923208236694336
6.033552,-17.99762725830078
6.033572,-18.46427726745605
6.033592,-17.81399917602539
6.033612,-18.58411407470703
6.033632,-19.21076393127441
6.033652,-18.010128021240234
6.033672,-18.54892349243164
6.033692,-17.99787139892578
6.033712,-18.547346115112305
6.033732,-19.27466583251953
6.033752,-18.16042709350586
6.033772,-18.60536193847656
6.033792,-17.874977111816406
6.033812,-19.05864524841309
6.033832,-19.440305709838867
6.033852,-18.128576278686523
6.033872,-18.67136573791504
6.033892,-18.0865535736084
6.033912,-18.593191146850582
6.033932,-19.4630126953125
6.033952,-18.62232780456543
6.033972,-18.853702545166016
6.033992,-18.075014114379883
6.034012,-19.23457145690918
6.034032,-19.80264472961425
6.034052,-18.35198783874512
6.034072,-18.910350799560547
6.034092,-18.40647315979004
6.034112,-18.91987991333008
6.034132,-19.72836685180664
6.034152,-18.751604080200195
6.034172,-19.17076301574707
6.034192,-18.43501853942871
6.034212,-19.220230102539062
6.034232,-19.87086677551269
6.034252,-18.68117904663086
6.034272,-19.3021240234375
6.034292,-18.54803466796875
6.034312,-18.87035369873047
6.034332,-19.780574798583984
6.034352,-18.953367233276367
6.034372,-19.429468154907227
6.034392,-18.68358039855957
6.034412,-19.389020919799805
6.034432,-20.00006103515625
6.034452,-18.825580596923828
6.034472,-19.41065216064453
6.034492,-18.842374801635746
6.034512,-19.1346378326416
6.034532,-19.891202926635746
6.034552,-18.93521499633789
6.034572,-19.3881893157959
6.034592,-18.72062110900879
6.034612,-19.828065872192383
6.034632,-20.248762130737305
6.034652,-18.93320846557617
6.034672,-19.50490379333496
6.034692,-19.02314186096192
6.034712,-19.524791717529297
6.034732,-20.092849731445312
6.034752,-19.114131927490234
6.034772,-19.61206817626953
6.034792,-18.961071014404297
6.034812,-19.81525421142578
6.034832,-20.409326553344727
6.034852,-19.112323760986328
6.034872,-19.57889938354492
6.034892,-19.01953315734864
