gain,phase,side,dataset,amp_dB,err_amp_dB,log10_fwhm,dlog10_fwhm
8.4,hermitian,left,theory,-16.044609859105353,0.05322397106095522,1.2188768353511785,0.007160525584203716
8.4,hermitian,right,theory,-15.773116961102254,0.05270168753680693,1.2436164608721878,0.00691339716153766
1.9,hermitian,left,theory,-27.19640527782733,0.04074909432208784,1.7214406364674175,0.0017850497599350315
1.9,hermitian,right,theory,-27.371567034262483,0.03904216474224498,1.7160077596394323,0.0017129849809165135
2.77,hermitian,left,theory,-26.398251805896326,0.04867475452274661,1.7171186741259437,0.002190769518096645
2.77,hermitian,right,theory,-26.594936329805705,0.04566356978678243,1.7107277749446208,0.002094303814044039
-2.87,hermitian,left,theory,-30.760318309599537,0.02754945499999195,1.7475598403890313,0.0007377054995894433
-2.87,hermitian,right,theory,-30.91618491233705,0.02765782214007828,1.7443758900956343,0.0007139453151201861
4.93,hermitian,left,theory,-24.012556943314078,0.10636574820399858,1.6936981636815833,0.004205761116359389
4.93,hermitian,right,theory,-24.158866573014656,0.09475779697708475,1.6901953850394398,0.003958122047115385
7.97,hermitian,left,theory,-17.28529268318355,0.06327262411237555,1.2635009104741448,0.009199664851309169
7.97,hermitian,right,theory,-17.00759915883394,0.0625247019293127,1.2877087248506736,0.008799919109451946
-1.13,hermitian,left,theory,-29.615005529370585,0.030114667350488844,1.7383391188305213,0.0009791018571920541
-1.13,hermitian,right,theory,-29.767888741366782,0.02996767850790505,1.7347100463677192,0.0009455220455938517
1.47,hermitian,left,theory,-27.5765877508193,0.03813118430535667,1.7237827802534522,0.0016221039539596246
1.47,hermitian,right,theory,-27.74489261251761,0.03684415246089756,1.7187262978381685,0.0015587612022019714
-3.3,hermitian,left,theory,-31.02199427987829,0.027041616425353965,1.74973056361628,0.000691364817537788
-3.3,hermitian,right,theory,-31.179138294938667,0.027190062190715736,1.746630087373912,0.000669430635552274
3.63,hermitian,left,theory,-25.547222053441715,0.06339139131289784,1.7137693610141587,0.0027542220242342858
3.63,hermitian,right,theory,-25.78222910118552,0.05792950450131684,1.706079467870555,0.002616472051460233
7.1,hermitian,left,theory,-20.57355819453608,0.4313002834309607,1.6261920673138073,0.01451027319969647
7.1,hermitian,right,theory,-20.389882061807818,0.3909838059338213,1.6330386503303733,0.01339248106874286
0.6,hermitian,left,theory,-28.301249245762644,0.034416451443359364,1.7286200345366982,0.0013540796826870026
0.6,hermitian,right,theory,-28.460444832346795,0.03369833477874451,1.7241804026790757,0.0013039486013528782
4.07,nonhermitian,single,theory,-7.234474330820563,0.01722327359159692,0.8449692410568528,0.0020345749704219532
6.23,nonhermitian,single,theory,15.211821554954854,1.8474853517232308,-0.3114010970562384,0.15906760806819742
-1.13,nonhermitian,single,theory,-27.869025224491395,0.13828860433500267,1.301029995663981,0.014923250804371804
-3.3,nonhermitian,single,theory,-31.79842621326676,0.1253046533367197,1.301029995663981,0.017538796940735683
2.33,nonhermitian,single,theory,-18.453822342601384,0.009965549135372953,1.2698467842768326,0.0005186567741853387
0.17,nonhermitian,single,theory,-25.01198312661783,0.13772969537783197,1.301029995663981,0.011747323155062914
-2.0,nonhermitian,single,theory,-29.53768866704962,0.13344450121400442,1.301029995663981,0.016231355960862143
-4.17,nonhermitian,single,theory,-33.184498741740185,0.12033591633596785,1.3010069180518546,0.018139717718955516
5.37,nonhermitian,single,theory,15.35203017747687,1.3731666118685908,-0.3173061746599264,0.11533220382547191
4.5,nonhermitian,single,theory,0.3056743297918759,0.03521080705892876,0.5385032546228059,0.003989524869339546
3.2,nonhermitian,single,theory,-14.28595914850174,0.012775249504363373,1.1183090224126297,0.0008949376779533371
1.03,nonhermitian,single,theory,-22.758671926533466,0.11715698857953072,1.301029995663981,0.008111159781384497
7.53,nonhermitian,single,theory,15.29536697638267,2.414081885564535,-0.3126755057520291,0.21535992528250256
-2.87,nonhermitian,single,theory,-31.071951560919274,0.1279514787289635,1.301029995663981,0.0171658251667786
7.1,nonhermitian,single,theory,15.3180872774456,2.217601829914905,-0.30949241309619385,0.1948233028282555
0.6,nonhermitian,single,theory,-23.929299628492338,0.13119923253387356,1.301029995663981,0.010145249200050884
1.47,nonhermitian,single,theory,-21.47970005237422,0.08975573004082449,1.301029995663981,0.005482805791941388
3.63,nonhermitian,single,theory,-11.370202666829158,0.014425907609222577,1.0072317680276333,0.0012839930359124843
-2.43,nonhermitian,single,theory,-30.319500142741845,0.1306998167623803,1.301029995663981,0.01673583325908092
7.97,nonhermitian,single,theory,15.295154090150893,2.5997635850320098,-0.31767417990601243,0.23436125777630418
4.93,nonhermitian,single,theory,15.34113238981153,1.1045998216327497,-0.3127406641547782,0.09127859608028897
